HostId,HostName,HostSince,HostResponseRate,HostIsSuperhost,HostNeighborhood,HostListingCount
3593244,Brittni,2012-09-17,100%,t,University District,1
5692720,Amy,2013-03-30,100%,t,Ballard,1
681242,Heather,2011-06-09,100%,f,Ballard,1
8501598,Stan,2013-08-28,N/A,f,Crown Hill,2
197690,Trishann,2010-08-10,N/A,f,Broadview,3
8594245,Kate,2013-09-02,N/A,t,Minor,1
8660724,Deb,2013-09-05,100%,f,North Beacon Hill,1
8905591,David,2013-09-18,83%,t,First Hill,1
5040664,Adam,2013-02-10,N/A,f,Capitol Hill,1
8956137,William,2013-09-20,90%,f,Magnolia,4
3650951,Candace,2012-09-23,100%,t,Capitol Hill,1
9080359,John,2013-09-26,N/A,f,Green Lake,1
1214247,Marcell,2011-09-27,100%,t,North Delridge,2
9148911,Constance,2013-09-30,N/A,f,Bryant,1
3540728,Dave,2012-09-11,N/A,f,Wallingford,1
9263662,Calvin,2013-10-06,N/A,f,Capitol Hill,1
8932486,Paul,2013-09-19,100%,t,Minor,4
9555890,Melissa,2013-10-21,100%,t,Minor,6
8026420,Sheldon,2013-08-08,N/A,f,University District,2
1730412,Desdemona,2012-02-10,100%,t,Fremont,2
9423731,Brooke,2013-10-14,100%,f,Green Lake,4
9450725,Ron,2013-10-15,100%,t,Wallingford,1
3464851,Ev,2012-09-04,N/A,f,Maple Leaf,1
9533123,Pam,2013-10-20,100%,t,Queen Anne,1
2323745,Leanne,2012-05-08,50%,f,Seward Park,1
9599228,Suzanna,2013-10-23,100%,f,Mount Baker,1
9759010,Amanda,2013-11-01,N/A,f,,1
3118422,Julie,2012-07-31,100%,f,Columbia City,1
9890727,Stephen,2013-11-08,N/A,f,Minor,1
2497928,Gary And Beth,2012-05-30,N/A,t,Queen Anne,1
9975709,Bea,2013-11-12,100%,f,North Beacon Hill,1
9995714,Anna,2013-11-13,N/A,f,Capitol Hill,1
10014839,Timothy,2013-11-14,100%,t,Greenwood,2
5304351,Joe,2013-03-03,N/A,f,Georgetown,1
9337200,Brian,2013-10-09,100%,t,Ballard,1
7466082,Vera,2013-07-13,100%,t,Ballard,1
10235544,Scott (Aka Skip),2013-11-24,100%,t,Leschi,9
10392662,Sheryl,2013-12-02,100%,f,Wallingford,2
10437300,Paul,2013-12-04,100%,t,Green Lake,1
10438622,Alison,2013-12-04,N/A,f,Capitol Hill,1
10590193,Cheryl,2013-12-12,100%,f,Maple Leaf,2
10771753,Abe,2013-12-23,N/A,t,Leschi,1
10870042,Luna Farm,2013-12-28,N/A,f,Minor,2
10977007,Michelle,2014-01-02,100%,t,Columbia City,1
3291162,Carola,2012-08-17,N/A,f,Ballard,1
6668610,Don,2013-05-31,100%,t,Wallingford,2
11206862,Tammi,2014-01-11,100%,t,North Beacon Hill,2
9931335,Jodi And David And Laura And Hasan,2013-11-10,100%,t,Maple Leaf,1
11299221,Kelly,2014-01-14,100%,t,Green Lake,6
11580391,Shawn,2014-01-23,100%,t,Ballard,2
4630668,Kate & Danny,2013-01-08,N/A,f,Ballard,1
11737076,Donna,2014-01-28,100%,t,Broadview,1
12002224,Bojana,2014-02-06,N/A,f,Montlake,1
1545100,Erin & Nat,2011-12-29,N/A,f,Stevens,1
1123549,Sandy,2011-09-07,100%,t,Fremont,2
12270485,Luke,2014-02-15,N/A,f,Capitol Hill,1
11024255,Katherine,2014-01-04,N/A,f,Bryant,2
12400286,Kevin,2014-02-19,N/A,f,Licton Springs,1
12483454,Kelly,2014-02-22,100%,t,Ballard,2
12509177,Susan And Joel,2014-02-23,100%,t,Ravenna,1
12575330,Megan,2014-02-25,100%,t,Portage Bay,2
2824920,Gerrit & Ann,2012-07-04,100%,t,Columbia City,1
12657870,Robert,2014-02-28,100%,t,Broadview,1
12693172,Laura & Peter,2014-03-01,100%,t,Queen Anne,2
5177328,Andrea,2013-02-21,100%,t,Queen Anne,5
6433045,Genjo,2013-05-17,N/A,f,North Beacon Hill,1
512103,Mari,2011-04-15,100%,t,Magnolia,2
12796487,Shannon,2014-03-04,89%,f,Stevens,14
2033580,Anthony,2012-03-29,100%,t,Eastlake,3
12913415,Michelle,2014-03-08,90%,t,North Admiral,1
5570855,Marian,2013-03-22,100%,t,North Admiral,2
10955929,Tobin,2014-01-02,N/A,t,Phinney Ridge,1
5507715,Stephanie,2013-03-17,N/A,t,Greenwood,1
12651381,Lisa,2014-02-27,N/A,f,Madrona,1
2536735,Akiko,2012-06-03,100%,f,Brighton,2
13386991,Kelly,2014-03-21,N/A,f,Leschi,1
30832,Siena,2009-08-10,100%,t,First Hill,4
106700,Zvi,2010-04-11,N/A,f,Capitol Hill,1
13364937,Kelly,2014-03-21,100%,f,North Admiral,1
13266307,David,2014-03-18,100%,t,View Ridge,1
13669439,Matthew,2014-03-29,100%,t,Stevens,3
2231298,Chris,2012-04-26,100%,t,Ballard,5
106972,Kelly,2010-04-11,80%,t,Queen Anne,3
13786376,Manuela,2014-04-01,100%,t,Fremont,1
3676438,Dan,2012-09-25,50%,f,Magnolia,1
6985440,Debbie,2013-06-18,100%,t,Columbia City,2
880937,Connie,2011-07-27,100%,t,Phinney Ridge,1
13959773,Rose Michelle,2014-04-06,100%,t,Fremont,1
1183679,Meredith,2011-09-20,N/A,t,Columbia City,1
14017820,Michael,2014-04-07,N/A,f,Haller Lake,2
3752499,Donna,2012-10-04,100%,t,Fremont,2
14107195,Jean-Sébastien,2014-04-10,100%,t,Fremont,2
14372052,Kathleen,2014-04-16,100%,f,North Delridge,3
14417667,Saleem,2014-04-17,N/A,f,,1
3381463,Katrina,2012-08-26,N/A,f,Atlantic,1
14660515,Eric,2014-04-24,N/A,f,Phinney Ridge,1
2085350,Jordanna,2012-04-06,N/A,f,Capitol Hill,1
13240442,Adam,2014-03-17,100%,f,Stevens,3
2328599,Daniel,2012-05-09,N/A,f,Industrial District,1
14926558,Sarah & Katie,2014-04-30,100%,t,Queen Anne,1
14015217,Elsie,2014-04-07,100%,t,Belltown,2
14980831,Rebecca,2014-05-01,100%,t,First Hill,9
15060417,Ginny,2014-05-03,100%,t,Ballard,1
2066223,Patricia,2012-04-03,100%,t,Wallingford,1
7319622,Darren & Stephanie,2013-07-06,100%,f,Wallingford,2
12171359,Diane,2014-02-12,100%,t,Queen Anne,3
15310909,Purva,2014-05-09,N/A,f,,1
12086787,Marcus,2014-02-09,94%,t,Columbia City,1
15473800,Lisa,2014-05-13,N/A,t,Ballard,1
14860162,Jenn,2014-04-28,100%,t,Lower Queen Anne,1
5067360,Wendy,2013-02-12,N/A,f,Ballard,2
15566972,Scott,2014-05-15,N/A,f,North Admiral,1
4152568,Barrie,2012-11-14,N/A,f,Ballard,1
5014920,Jeff,2013-02-08,N/A,f,North Admiral,1
15942582,Jenell,2014-05-24,100%,t,Belltown,8
15537536,Richard  & Jeri,2014-05-14,N/A,f,Ravenna,0
9484588,Kim,2013-10-17,N/A,f,Ballard,1
9365736,Erin,2013-10-11,N/A,f,Ballard,1
9187497,Ellen,2013-10-02,N/A,f,Pike Place Market,1
168580,Glyn,2010-07-16,100%,t,Phinney Ridge,1
2733106,Jessica,2012-06-24,0%,f,Seaview,1
6680836,Dimple,2013-06-01,83%,f,Wallingford,3
16477349,Donna,2014-06-06,N/A,f,Columbia City,2
2034501,Vivian,2012-03-30,92%,t,Broadview,2
13697241,Bonnie,2014-03-30,100%,t,Pioneer Square,1
11948115,Kim,2014-02-04,N/A,f,Greenwood,1
3267988,Rebecca,2012-08-15,N/A,f,Wallingford,2
16708587,Jill,2014-06-12,100%,f,Queen Anne,2
16727906,Tory,2014-06-13,100%,f,Fremont,2
3906464,Amy,2012-10-17,N/A,f,Belltown,2
73359,Mary,2010-01-25,100%,t,Seward Park,2
14138534,Jill,2014-04-10,100%,t,Portage Bay,2
8534462,Barsala,2013-08-30,97%,f,Pike Place Market,1126
16255476,Ken,2014-06-01,100%,t,Pike Place Market,4
106721,Paula,2010-04-11,N/A,f,Queen Anne,1
3903203,Chad,2012-10-17,N/A,f,Genesee,1
10219841,Conni & Stew,2013-11-24,100%,t,,1
6781660,Dave,2013-06-07,N/A,f,Belltown,1
878926,Anish,2011-07-27,N/A,t,Pike Place Market,1
17342935,David,2014-06-27,100%,t,Yesler Terrace,2
1000862,Tracy & Arthur,2011-08-21,N/A,f,Minor,0
17566052,Ruth,2014-07-02,100%,f,Seward Park,1
2318574,Annie,2012-05-08,100%,f,Fremont,3
1801138,Shauna Causey +,2012-02-23,100%,t,Alki,3
13784525,Michael,2014-04-01,100%,f,,5
16835162,Esperanza & Leo,2014-06-15,N/A,t,Riverview,1
3152296,Lynda,2012-08-03,100%,t,Greenwood,1
17834927,Jeffrey,2014-07-08,100%,t,Greenwood,2
17795956,Cris,2014-07-07,100%,t,Holly Park,2
17881151,Tiffany,2014-07-09,N/A,f,Capitol Hill,1
16929371,Janyce Lynn,2014-06-17,100%,t,Magnolia,3
15984289,Julian,2014-05-26,90%,f,North Beacon Hill,6
1809801,Becky And Jim,2012-02-25,100%,t,Fremont,1
1403646,Jamie,2011-11-13,N/A,f,Eastlake,1
525710,Libby,2011-04-21,100%,f,,1
1859394,Andrew,2012-03-04,N/A,f,Columbia City,1
18681876,Margaret,2014-07-22,N/A,f,,1
5776729,Ballard Odd Fellows,2013-04-04,100%,f,Ballard,1
1375021,Charlotte & Larry,2011-11-06,100%,t,Ballard,1
6533205,Lauren,2013-05-23,50%,t,Bitter Lake,1
3837152,Jeannine,2012-10-11,100%,t,,0
18791339,Young,2014-07-24,N/A,f,Atlantic,1
3768176,Erin,2012-10-05,100%,t,Mathews Beach,1
6117728,Malory,2013-04-27,N/A,f,Queen Anne,1
1311683,Stephanie,2011-10-19,N/A,f,Lower Queen Anne,1
17467850,Jessica,2014-06-30,N/A,f,North Beacon Hill,1
13603379,Leslie,2014-03-27,N/A,f,Rainier Beach,1
19245041,Myyk,2014-07-31,N/A,t,Capitol Hill,6
19292422,Claire,2014-08-01,100%,t,Ravenna,2
19311504,Andrew,2014-08-01,N/A,t,,1
18232665,Kim,2014-07-17,100%,t,Ballard,1
1821227,Lisa,2012-02-27,N/A,f,Wallingford,1
2336122,Sandra,2012-05-10,0%,f,Windermere,1
19412970,Paul,2014-08-03,100%,t,Wallingford,1
2327457,Jen,2012-05-09,100%,t,Wallingford,1
13166405,Philip,2014-03-15,N/A,f,Capitol Hill,1
19660469,Jil,2014-08-08,100%,t,Green Lake,1
19756727,Jamie,2014-08-09,100%,t,Ballard,1
19811465,Maryanne,2014-08-10,N/A,f,Roosevelt,1
13771267,Paige,2014-04-01,N/A,t,Fremont,2
9453180,Lara,2013-10-15,97%,t,Ravenna,4
19913881,Michael,2014-08-12,N/A,t,Green Lake,1
2216874,Justin,2012-04-24,N/A,f,Ballard,1
19928221,Debbie,2014-08-12,100%,t,Ballard,1
19333511,Tania,2014-08-02,0%,t,Mathews Beach,1
19932967,Pat & Roberta,2014-08-13,100%,t,Queen Anne,2
20184201,Sherry,2014-08-17,N/A,t,Fremont,3
6614779,Tony,2013-05-28,N/A,f,Alki,2
20220925,Ezana,2014-08-18,N/A,t,First Hill,1
1611939,Drew,2012-01-16,100%,t,Ballard,1
20314969,Ariel,2014-08-20,N/A,f,Harrison/Denny-Blaine,1
20374704,Eirean,2014-08-21,N/A,f,Belltown,1
20450031,John & Kathy,2014-08-23,100%,t,Atlantic,1
4349190,Rachel & Jon,2012-12-07,N/A,t,Minor,1
20493911,Kevin,2014-08-24,100%,f,Belltown,9
7307064,Beth,2013-07-05,100%,t,Phinney Ridge,1
16729336,Deborah,2014-06-13,N/A,t,Minor,1
14446306,Derek,2014-04-18,100%,t,,1
20671912,Amanda And Toni,2014-08-29,100%,t,Madrona,1
8616799,Jana,2013-09-03,100%,f,Belltown,1
20725320,Kate,2014-08-30,N/A,f,Queen Anne,1
16206353,Kathleen,2014-05-31,N/A,f,Laurelhurst,1
595074,Jillian And Lorin,2011-05-16,100%,t,Roosevelt,1
20873639,James,2014-09-03,100%,t,Green Lake,1
10061445,Roland,2013-11-16,100%,t,Wallingford,5
8607308,Lisa,2013-09-03,100%,t,The Junction,1
2325108,Josh And Nicole,2012-05-08,100%,t,Madrona,2
11308167,Matt,2014-01-14,N/A,f,Queen Anne,1
14012754,Lara,2014-04-07,100%,t,Fremont,4
10722904,Arnaud,2013-12-20,N/A,f,Phinney Ridge,1
1381289,Tawny,2011-11-07,78%,f,Westchester/Playa Del Rey,153
9058822,Andre And Joel,2013-09-25,100%,f,First Hill,6
5806502,Jordan,2013-04-07,N/A,t,Capitol Hill,2
8245741,Gustaf,2013-08-19,N/A,t,University District,3
20994898,Linda,2014-09-06,100%,f,Downtown Seattle,6
19193158,Faith,2014-07-30,100%,t,Leschi,1
21699774,Pierre,2014-09-23,N/A,f,Highland Park,1
10594158,Mimi,2013-12-12,N/A,t,Phinney Ridge,1
21730644,Carolina,2014-09-24,100%,f,Minor,2
2409388,Lisa,2012-05-18,N/A,f,Bryant,3
1379358,Peter,2011-11-07,100%,f,Capitol Hill,4
21896205,Henry,2014-09-28,100%,t,Queen Anne,1
9499722,Emily,2013-10-18,N/A,f,Capitol Hill,1
919364,Jeff,2011-08-04,94%,t,Kaanapali,10
22068932,Leonard,2014-10-03,N/A,f,Highland Park,1
22218808,Donna,2014-10-06,100%,t,Green Lake,1
4873557,Beth,2013-01-27,N/A,t,Wallingford,2
19039209,Ted,2014-07-28,100%,t,Minor,1
20219463,Dan,2014-08-18,N/A,t,Windermere,1
21640303,Chris,2014-09-22,N/A,f,Minor,1
22411484,Malhar,2014-10-11,92%,t,Atlantic,2
22422978,Caleb,2014-10-12,100%,f,Phinney Ridge,1
1628476,Ralph,2012-01-19,100%,t,Lower Queen Anne,1
11600938,Brian And Kylie,2014-01-24,100%,t,Wallingford,1
22647457,Chris,2014-10-17,N/A,f,Wallingford,1
4631742,Natalie,2013-01-08,N/A,f,Mount Baker,1
22737225,David,2014-10-19,100%,t,Minor,1
4199445,Liam,2012-11-20,100%,t,Mount Baker,2
22848233,Carrie,2014-10-22,N/A,f,Stevens,1
21687926,Iain,2014-09-23,N/A,f,Fremont,1
22960405,David,2014-10-25,N/A,f,Maple Leaf,1
1030035,Lara,2011-08-28,100%,t,Ballard,1
17571737,Cathy Patnoe-Brandt & John,2014-07-02,100%,f,Leschi,1
2277537,Sally,2012-05-02,N/A,t,University District,2
9033582,Jenn,2013-09-24,100%,f,,1
11910130,Marion,2014-02-03,N/A,f,Madison Park,1
15320835,David,2014-05-09,N/A,f,,1
23255076,Ana,2014-11-02,100%,t,Eastlake,1
253110,Ben,2010-10-04,N/A,t,Capitol Hill,2
11981534,Joy,2014-02-05,N/A,f,Belltown,2
22840181,Samantha,2014-10-22,100%,t,Wallingford,5
7796684,Susan,2013-07-29,100%,t,Long Beach,9
23489864,Daniel,2014-11-08,N/A,f,Ballard,1
23591558,Jason,2014-11-10,100%,t,Bryant,1
18342756,Becky,2014-07-18,100%,t,Queen Anne,5
2855271,Andrew,2012-07-07,100%,f,,1
14418694,Geoffrey,2014-04-17,N/A,f,,1
2095307,Paige,2012-04-08,100%,t,Bryant,1
23878721,Sallie,2014-11-18,100%,t,Magnolia,1
23880457,Alexandra,2014-11-18,N/A,t,Wallingford,1
23916634,Cyndy,2014-11-18,N/A,t,Ballard,1
23946949,Laura,2014-11-19,N/A,f,Minor,1
23972943,Joy,2014-11-20,100%,f,Ravenna,16
24087447,Lela,2014-11-23,100%,t,Green Lake,1
3973228,Sarah And Luke,2012-10-25,N/A,f,Eastlake,1
1304769,Lilia,2011-10-17,N/A,t,The Junction,1
24212314,Kirsten,2014-11-27,N/A,f,Bitter Lake,3
17469341,Chris,2014-06-30,N/A,t,Greenwood,1
5335328,Tanya,2013-03-05,N/A,f,Greenwood,1
10283735,Mayza,2013-11-26,100%,f,Rainier Beach,8
2458445,Peter,2012-05-24,100%,f,Queen Anne,1
3475127,Kim & Scott,2012-09-04,N/A,f,Madrona,1
24427501,Dmitry,2014-12-03,50%,t,Greenwood,1
7441000,Carrie,2013-07-12,50%,f,Fremont,1
5525234,Ellwood,2013-03-19,N/A,t,Victory Heights,1
24526173,Connie,2014-12-05,100%,t,First Hill,2
8993600,Ella,2013-09-22,N/A,t,Harrison/Denny-Blaine,1
6047879,Elizabeth,2013-04-22,100%,f,Minor,1
7740890,Daniel,2013-07-26,N/A,t,North Beacon Hill,1
